,phonetics_id,names,phonetics
4613,4613,coric,CHOH-rihch
4614,4614,correa,koh-RAY-ah
4615,4615,cosic,CHOH-seech
4616,4616,cossana,koh-SAHN
4617,4617,costa,KOHS-tah
4618,4618,couchepin,KOOSH-pah(n)
4619,4619,coulibaly,koh-lee-bah-LEE
4622,4622,coutiti,KOO-tee-tee
4623,4623,covic,CHOH-vihch
4624,4624,covic,CHAW-veech
4625,4625,cowen,COW-ehn
4626,4626,cozma,KOHS-mah
4627,4627,craxi,KRAHK-see
4628,4628,crean,KREEN
4629,4629,creel,KREEL
4630,4630,cresson,KREH-saw
4631,4631,croitoru,kroy-TOOR-oo
4632,4632,crowe,KR-OW
4633,4633,crvenkovski,ts-err-VEHN-kawf-skee
4634,4634,csaba,CHAH-bah
4635,4635,csurka,CHOOR-kah
4636,4636,cubas,KOO-bahs
4637,4637,curuvija,choo-ROO-vee-ah
4638,4638,cuthbert,KOOT-behrt
4639,4639,cvetkovic,SVEHT-koh-vihch
4640,4640,cytrycki,(t)sih-TRIH-skee
4641,4641,czyzewski,chih-ZHEHF-skee
4642,4642,dalema,dah-LAY-mah
4643,4643,daubuisson,DAH-bwee-sohn
4644,4644,daci,DAHT-see
4645,4645,dacic,DAH-chich
4646,4646,dadfar,DAHD-FAHR
4647,4647,dadonov,dah-DAW-nawf
4648,4648,dadullah,dah-doo-LAH
4649,4649,dagan,day-GAHN
4650,4650,dahlan,dah-LAHN
4651,4651,dahoumane,dah-hoo-MAHN
4652,4652,dalila,dah-LEE-lah
4653,4653,dallaire,dahl-AIR
4654,4654,dambrowski,dohm-BROHF-skee
4655,4655,damiri,dah-MIH-ree
4656,4656,dandah,DAHN-dah
4657,4657,dandala,dahn-DAH-lah
4658,4658,daniel,SEHL-soh
4659,4659,danilov,dah-NEE-lawf
4660,4660,danneels,DAH-neels
4661,4661,daoud,dah-OOD
4663,4663,darbinyan,dahr-been-YAHN
4664,4664,darboe,DAHR-boh
4665,4665,dardhishta,dahr-DEESH-dah
4666,4666,darmono,dahr-MOH-noh
4667,4667,darusman,dah-roos-MAHN
4668,4668,darwazah,DAHR-wahz-ah
4669,4669,daschle,DASH-uhl
4670,4670,daudzai,dah-OOD-z-eye
4671,4671,daukoru,dow-KOH-roo
4672,4672,davide,dah-VEE-day
4673,4673,davinic,DAH-veen-ihch
4674,4674,davoudi,daw-voo-DEE
4675,4675,davutoglu,dah-voo-TOH-loo
4676,4676,davydovych,dah-vee-DAW-vihch
4677,4677,de,deh-BOOR
4678,4678,debakey,dee-BAY-kee
4679,4679,deby,deh-BEE
4680,4680,deif,DAYF
4681,4681,deiss,D-EYE-SS
5163,5163,delarosiere,deh-lah-roh-zee-AIR
5164,5164,deli,day-LEE
5165,5165,delic,DEH-leech
5166,5166,delimustafic,deh-lee-MOO-stah-fihch
5167,5167,delor,duh-LOHR
5168,5168,demaci,dee-MAH-chee
5169,5169,demeksa,deh-MEHK-sah
5170,5170,demirchian,day-MEER-chee-AHN
5171,5171,demirel,DEH-mee-rehl
5172,5172,demjanjuk,dehm-yahn-YUHK
5173,5173,denis,deh-NEE
5174,5174,denktas,DEHNK-TAHSH
5176,5176,deora,DEER-ah
5177,5177,deri,DEH-REE
5178,5178,derchak,DEHR-chahk
5179,5179,derkach,dehr-KAHCH
5181,5181,dervis,D-AIR-vihsh
5182,5182,derwish,dehr-WIHSH
5183,5183,desai,dehs-EYE
5184,5184,deshmukh,DAYSH-mook
5185,5185,desierto,deh-see-EHR-toh
5186,5186,desquiron,dehs-kee-ROH(n)
5187,5187,devdariani,dehv-dah-ree-AH-nee
5188,5188,devi,DAY-vee
5189,5189,dhanapala,dah-nah-PAH-lah
