phonetics_id,names,phonetics
62,carandiru,kah-rahn-dee-ROO
63,cartagena,kahr-tah-HAY-nah
64,cebu,say-BOO
65,cernavoda,chehr-nah-VOH-dah
66,ceyhan,jay-HAHN
67,chaigai,CHAHG-EYE
68,chamoli,chuh-MOH-lee
69,chavakachcheri,CHAH-vah-KAHCH-cheh-ree
70,chernobyl,chehr-NOH-bihl
71,chernorechye,cheer-nah-R-EYE-ch-yih
72,chile,CHIH-lee
73,chilean,CHIH-lee-ahn
74,chin,CHIHN
75,chinhoyi,cheen-HOH-yee
76,chisinau,KISH-IN-NOW
77,chlef,SH-LEHF
78,coartem,koh-AHR-tehm
79,colorado,koh-loh-RAH-doh
80,comoros,KAH-moh-rohz
81,condepa,kohn-DEH-pah
82,copei,koh-PAY
83,cotonou,koh-toh-NOO
84,cumhuriyet,juhm-hoo-ree-YEHT
85,dacha,DAH-chah
86,daqadus,dah-kah-DOOS
87,dayak,dah-YAHK
88,decani,DAY-chah-nee
89,dhakikot,dah-kee-KOHT
90,diet,D-EYE-eht
91,diflucan,d-eye-FLOO-kahn
92,dili,DIH-lee
93,dinar,DEE-nahr
94,dinka,DING-kah
95,dipendra,dee-PEHN-dreh
96,diwali,dih-VAH-lee
97,diyarbakir,dee-YAHR-bahk-EHR
98,dnevi,D-NAY-vee
99,doda,DOH-duh
100,drapchi,DRAHP-chee
101,dujail,duh-ZHAYL
102,dulmatin,dool-MAH-tihn
103,duma,DOO-mah
104,durban,DURR-behn
105,dushanbe,D-YOO-SHAHM-BEH
106,duvdevan,DOOV-deh-VAHN
107,duwaima,doo-WAY-mah
108,ecowas,EH-KOH-WAHZ
109,elgin,EHL-ghehn
110,ennahdha,eh-NAH-dah
111,ercis,AIR-jeesh
112,ergenekon,ehr-ghehn-eh-KOHN
113,erzurum,ehr-zuh-ROOM
114,evin,eh-VEEN
115,exocet,EHK-soh-seht
116,eyl,A-ehl
117,fahd,FAH-hd
118,faisal,F-EYE-suhl
119,faizabad,F-EYE-zah-bahd
120,fatah,FAHT-ah
121,feira,FAY-ruh
122,felipe,fay-LEE-pay
123,fidesz,FEE-dehs
124,foca,FAW-chah
125,fretilin,FRAY-tih-lihn
126,frodebu,froh-DAY-boo
127,fulani,foo-LAH-nee
128,funcinpec,FUHN-sihn-pehk
129,futenma,foo-TEHN-mah
130,gazprom,gaz-PRAHM
131,gedaref,GEH-DAR-IF
132,gezira,JUH-ZEER-RAH
133,ghajar,GAH-jahr
134,gilo,GHEE-loh
135,glienicke,GLEE-nih-keh
136,goethe,GRR-teh
137,gonesse,gaw-NEHS
138,googoosh,goo-GOOSH
139,gospic,GOHS-peech
140,grozny,GRAWZ-nee
141,guanabara,gwah-nah-BAH-rah
142,gudermes,goo-dyihr-M-YEHS
143,gueckedou,geh-KAY-doo
144,guizhou,GWEE-JOH
145,gujarat,goo-jah-RAHT
146,gujjers,GOO-jehrs
147,gyanendra,gyah-NEHN-dreh
148,haaretz,HAH-AH-REHTS
149,hainan,H-EYE-NAHN
150,hamad,HAH-mahd
151,hamas,hah-MAHSS
152,hambali,HAHM-bah-lee
153,hambastegi,hahm-bahs-tee-JEE
154,hamzeh,HAHM-zeh
155,harald,HAH-RAHLT
156,harmoko,hahr-MOH-koh
157,hassan,HAH-sahn
158,hazarajat,hah-zah-rah-JAHT
159,heglig,hehg-LEEJ
160,hema,HAY-mah
161,henri,aw(n)-REE
162,hermitage,ehr-mih-TAZH
163,hezbollah,hehz-boh-LAH
164,hikari,hee-KAH-ree
165,histadrut,HEES-teh-droot
166,hodeidah,hoh-DAY-dah
167,houthi,HOO-thee
168,hryvna,huh-REEV-nyah
169,huila,WEE-lah
170,hyderabad,H-EYE-deh-reh-BAHD
171,ibadan,ee-BAHD-n
172,ieronymos,ee-a-ROH-nee-mohs
173,ignalina,ihg-NUH-lee-nah
174,iguacu,ee-gwah-SOO
175,ijaw,EE-jaw
176,imedi,ee-MEH-dee
177,incirlik,IHN-JEER-LIHK
178,ingushetia,ihn-goo-SHEH-tee-ah
179,inkatha,ihn-KAH-teh
180,insein,IHN-say
181,interpol,IHN-tehr-pawl
182,iran,ih-RAHN
183,iraq,ih-RAHK
184,ise,EE-say
185,ishkemish,ihsh-kuh-MIHSH
186,itsekiri,IHT-chah-kih-ree
187,janjaweed,jahn-jah-WEED
188,jasenovac,yah-SIHN-oh-vahts
189,jat,YAH-T
190,jedwabne,yehd-VAHB-neh
191,jharkhand,JAHR-kuhnd
192,jolo,HOH-loh
193,jundallah,juhn-duh-LAH
194,kabul,KAH-buhl
195,kachin,kah-CHIHN
196,kadima,kah-DEE-mah
197,kakhovka,KA-HOV-KAH
198,kalachakra,kah-lah-CHAHK-rah
199,kalashnikov,kah-LAHSH-nee-kawf
200,kalmykia,kal-MIH-kee-ah
201,kandahar,KEHN-deh-HAHR
202,kano,KAH-noh
203,kanyakine,kahn-yeh-KEE-nay
204,karaj,kah-RAHJ
205,karen,kah-REHN
206,karmapa,kahr-MAH-pah
207,karnataka,kahr-NAH-teh-keh
208,kartoum,KAR-TOOM
209,kassala,KUH-SEL-LAH
